period_type;period_id;period_start;period_end;records_count;duration_minutes;max_gap_minutes;total_origin_zero;home_consumption_kWh;ev_consumption_kWh;total_consumption_kWh;inverter_output_kWh;pv_production_kWh;import_kWh;export_kWh;battery_charge_kWh;battery_discharge_kWh;pv_counter_start_kWh;pv_counter_end_kWh;pv_counter_delta_kWh;inverter_output_counter_start_kWh;inverter_output_counter_end_kWh;inverter_output_counter_delta_kWh;import_counter_start_kWh;import_counter_end_kWh;import_counter_delta_kWh;export_counter_start_kWh;export_counter_end_kWh;export_counter_delta_kWh;battery_charge_counter_start_kWh;battery_charge_counter_end_kWh;battery_charge_counter_delta_kWh;battery_discharge_counter_start_kWh;battery_discharge_counter_end_kWh;battery_discharge_counter_delta_kWh;ev_counter_start_kWh;ev_counter_end_kWh;ev_counter_delta_kWh;soc_start_pct;soc_end_pct;soc_delta_pct;battery_capacity_kWh;battery_energy_change_kWh;battery_net_release_kWh;battery_net_storage_kWh;system_energy_available_kWh;system_energy_accounted_kWh;system_losses_kWh;system_losses_pct;system_balance_efficiency_pct;system_losses_estimated_yn;system_losses_basis;battery_efficiency_pct;quality_flag
daily;2026-05-11;2026-05-11 14:55:00;2026-05-11 23:50:00;108;535.000;5.000;False;4.600;1.000;5.600;7.800;8.600;0.000;2.200;4.500;6.300;1678.800;1687.400;8.600;1662.200;1670.000;7.800;3391.100;3391.100;0.000;441.300;443.500;2.200;1514.000;1518.500;4.500;1255.000;1261.300;6.300;1617.000;1618.000;1.000;38.000;25.000;-13.000;10.600;-1.378;1.378;0.000;9.978;7.800;2.178;21.828;78.172;n;period_boundary_counters_and_soc;140.000;partial_day,storage_efficiency_gt_100_check_counters
daily;2026-05-12;2026-05-12 00:00:00;2026-05-12 23:50:00;287;1430.000;5.000;False;5.500;0.000;5.500;4.600;10.700;0.900;0.000;4.800;4.100;1687.400;1698.100;10.700;1670.000;1674.600;4.600;3391.100;3392.000;0.900;443.500;443.500;0.000;1518.500;1523.300;4.800;1261.300;1265.400;4.100;1618.000;1618.000;0.000;24.000;29.000;5.000;10.600;0.530;0.000;0.530;11.600;6.030;5.570;48.017;51.983;n;period_boundary_counters_and_soc;85.417;ok
daily;2026-05-13;2026-05-13 00:00:00;2026-05-13 23:50:00;287;1430.000;5.000;False;4.600;10.100;14.700;15.200;28.100;0.800;1.300;15.200;9.600;1698.100;1726.200;28.100;1674.600;1689.800;15.200;3392.000;3392.800;0.800;443.500;444.800;1.300;1523.300;1538.500;15.200;1265.500;1275.100;9.600;1618.000;1628.100;10.100;29.000;91.000;62.000;10.600;6.572;0.000;6.572;28.900;22.572;6.328;21.896;78.104;n;period_boundary_counters_and_soc;63.158;ok
daily;2026-05-14;2026-05-14 00:00:00;2026-05-14 10:00:00;121;600.000;5.000;False;0.800;0.000;0.800;8.900;4.600;0.000;8.100;1.000;8.200;1726.200;1730.800;4.600;1689.800;1698.700;8.900;3392.800;3392.800;0.000;444.800;452.900;8.100;1538.500;1539.500;1.000;1275.100;1283.300;8.200;1628.100;1628.100;0.000;91.000;26.000;-65.000;10.600;-6.890;6.890;0.000;11.490;8.900;2.590;22.541;77.459;n;period_boundary_counters_and_soc;820.000;partial_day,storage_efficiency_gt_100_check_counters
daily;2026-05-15;2026-05-15 07:00:00;2026-05-15 23:55:00;204;1015.000;5.000;False;4.500;8.500;13.000;17.600;19.500;0.000;4.600;6.800;8.900;1754.900;1774.400;19.500;1713.900;1731.500;17.600;3393.000;3393.000;0.000;457.300;461.900;4.600;1549.100;1555.900;6.800;1289.200;1298.100;8.900;1635.900;1644.400;8.500;74.000;51.000;-23.000;10.600;-2.438;2.438;0.000;21.938;17.600;4.338;19.774;80.226;n;period_boundary_counters_and_soc;130.882;partial_day,storage_efficiency_gt_100_check_counters
daily;2026-05-16;2026-05-16 00:00:00;2026-05-16 23:50:00;245;1430.000;215.000;False;7.200;0.000;7.200;4.600;6.300;2.600;0.000;1.800;4.900;1774.400;1780.700;6.300;1731.500;1736.100;4.600;3393.000;3395.600;2.600;461.900;461.900;0.000;1555.900;1557.700;1.800;1298.200;1303.100;4.900;1644.400;1644.400;0.000;51.000;10.000;-41.000;10.600;-4.346;4.346;0.000;13.246;7.200;6.046;45.644;54.356;n;period_boundary_counters_and_soc;272.222;period_has_gaps,storage_efficiency_gt_100_check_counters
daily;2026-05-17;2026-05-17 00:00:00;2026-05-17 23:50:00;287;1430.000;5.000;False;22.000;16.100;38.100;5.900;5.100;32.200;0.000;13.000;5.900;1780.700;1785.800;5.100;1736.100;1742.000;5.900;3395.700;3427.900;32.200;461.900;461.900;0.000;1557.700;1570.700;13.000;1303.100;1309.000;5.900;1644.400;1660.500;16.100;10.000;85.000;75.000;10.600;7.950;0.000;7.950;37.300;46.050;-8.750;-23.458;123.458;n;period_boundary_counters_and_soc;45.385;system_losses_negative_check_counters
daily;2026-05-18;2026-05-18 00:00:00;2026-05-18 23:50:00;287;1430.000;5.000;False;12.700;4.700;17.400;11.400;9.600;6.400;0.400;2.000;8.100;1785.800;1795.400;9.600;1742.000;1753.400;11.400;3427.900;3434.300;6.400;461.900;462.300;0.400;1570.700;1572.700;2.000;1309.000;1317.100;8.100;1660.500;1665.200;4.700;85.000;37.000;-48.000;10.600;-5.088;5.088;0.000;21.088;17.800;3.288;15.592;84.408;n;period_boundary_counters_and_soc;405.000;storage_efficiency_gt_100_check_counters
daily;2026-05-19;2026-05-19 00:00:00;2026-05-19 23:50:00;287;1430.000;5.000;False;7.900;2.600;10.500;21.600;28.400;1.600;12.700;10.700;10.200;1795.400;1823.800;28.400;1753.400;1775.000;21.600;3434.300;3435.900;1.600;462.300;475.000;12.700;1572.700;1583.400;10.700;1317.100;1327.300;10.200;1665.200;1667.800;2.600;37.000;50.000;13.000;10.600;1.378;0.000;1.378;30.000;24.578;5.422;18.073;81.927;n;period_boundary_counters_and_soc;95.327;ok
daily;2026-05-20;2026-05-20 00:00:00;2026-05-20 23:55:00;287;1435.000;10.000;False;11.800;8.800;20.600;21.700;24.900;1.300;2.400;9.400;11.700;1823.800;1848.700;24.900;1775.100;1796.800;21.700;3435.900;3437.200;1.300;475.000;477.400;2.400;1583.400;1592.800;9.400;1327.400;1339.100;11.700;1667.800;1676.600;8.800;50.000;25.000;-25.000;10.600;-2.650;2.650;0.000;28.850;23.000;5.850;20.277;79.723;n;period_boundary_counters_and_soc;124.468;storage_efficiency_gt_100_check_counters
