hour_time;reference_r;class_0_value;class_5_value;class_10_value;date;forecast_cloud_cover_pct;forecast_cloud_class_pct;r_clear_candidate_flag;r_source
18:00;5.8000;;;6.5217;2026-05-24;9.0;10;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;;1.5789;;2026-05-25;5.0;5;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;;;1.4493;2026-05-25;6.0;10;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;;;4.4205;2026-05-25;7.0;10;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;;6.1776;;2026-05-25;2.0;5;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;;6.1103;;2026-05-25;5.0;5;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;2.1390;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;0.8798;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;1.4113;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.4615;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;3.5202;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;4.3891;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;5.0575;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
14:00;6.5000;5.9859;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;6.3776;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;5.9084;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
17:00;6.7000;5.7301;;;2026-05-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;1.1111;;;2026-05-26;0.0;0;False;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;1.5625;;;2026-05-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;1.4451;;;2026-05-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;1.5936;;;2026-05-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.4922;;;2026-05-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;2.6525;;;2026-05-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
18:00;5.8000;8.6486;;;2026-05-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
19:00;4.4000;7.2340;;;2026-05-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;0.0000;;;2026-05-27;0.0;0;False;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;1.4706;;;2026-05-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;1.1019;;;2026-05-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;1.5267;;;2026-05-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.5335;;;2026-05-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;3.4221;;;2026-05-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;3.2110;;;2026-05-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;;;2.6696;2026-05-28;8.0;10;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;5.2809;;;2026-05-29;0.0;0;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;0.0000;;;2026-05-29;0.0;0;False;calculated_actual_pv_Wh_div_radiation
14:00;6.5000;6.6667;;;2026-05-31;0.0;0;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;;1.7717;;2026-06-02;1.0;5;True;calculated_actual_pv_Wh_div_radiation
17:00;6.7000;;5.4409;;2026-06-02;3.0;5;True;calculated_actual_pv_Wh_div_radiation
18:00;5.8000;6.8528;;;2026-06-02;0.0;0;True;calculated_actual_pv_Wh_div_radiation
19:00;4.4000;;4.1494;;2026-06-02;3.0;5;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;;1.6901;;2026-06-03;5.0;5;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;;1.7751;;2026-06-03;1.0;5;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;;2.0067;;2026-06-04;2.0;5;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;;1.5534;;2026-06-06;4.0;5;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.7149;;;2026-06-06;0.0;0;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;3.6082;;;2026-06-06;0.0;0;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;;5.4863;;2026-06-06;2.0;5;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;6.1605;;;2026-06-06;0.0;0;True;calculated_actual_pv_Wh_div_radiation
17:00;6.7000;5.9246;;;2026-06-06;0.0;0;True;calculated_actual_pv_Wh_div_radiation
18:00;5.8000;7.4257;;;2026-06-06;0.0;0;True;calculated_actual_pv_Wh_div_radiation
19:00;4.4000;6.8826;;;2026-06-06;0.0;0;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;1.8519;;;2026-06-06;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.7481;;;2026-06-07;0.0;0;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;4.1505;;;2026-06-07;0.0;0;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;;;4.6099;2026-06-07;9.0;10;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;;;4.5673;2026-06-07;8.0;10;True;calculated_actual_pv_Wh_div_radiation
14:00;6.5000;;5.5229;;2026-06-07;2.0;5;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;;3.1915;;2026-06-08;1.0;5;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;;;5.1205;2026-06-09;6.0;10;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;;3.8278;;2026-06-12;4.0;5;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;;;2.1073;2026-06-12;6.0;10;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;;;5.4717;2026-06-12;10.0;10;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;;8.1377;;2026-06-12;3.0;5;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;0.0000;;;2026-06-12;0.0;0;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;;7.1987;;2026-06-13;3.0;5;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;;2.8017;;2026-06-14;5.0;5;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;;3.2520;;2026-06-14;3.0;5;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;6.3898;;;2026-06-14;0.0;0;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;7.6923;;;2026-06-14;0.0;0;True;calculated_actual_pv_Wh_div_radiation
18:00;5.8000;5.2023;;;2026-06-14;0.0;0;True;calculated_actual_pv_Wh_div_radiation
19:00;4.4000;2.7451;;;2026-06-14;0.0;0;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;;;1.7241;2026-06-14;7.0;10;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;3.7915;;;2026-06-15;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;;;1.7742;2026-06-15;8.0;10;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;;;3.5627;2026-06-15;8.0;10;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;;4.5386;;2026-06-15;5.0;5;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;;2.3739;;2026-06-16;2.0;5;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;2.6087;;;2026-06-16;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;;2.9985;;2026-06-16;2.0;5;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;;;4.5828;2026-06-16;9.0;10;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;;5.2988;;2026-06-16;2.0;5;True;calculated_actual_pv_Wh_div_radiation
14:00;6.5000;;6.0641;;2026-06-16;1.0;5;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;6.6095;;;2026-06-16;0.0;0;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;6.0309;;;2026-06-16;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;;5.1064;;2026-06-17;4.0;5;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;;9.6317;;2026-06-17;4.0;5;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;;1.8349;;2026-06-18;1.0;5;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;3.0435;;;2026-06-19;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.8169;;;2026-06-19;0.0;0;True;calculated_actual_pv_Wh_div_radiation
14:00;6.5000;;5.7831;;2026-06-20;2.0;5;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;;;6.1460;2026-06-20;9.0;10;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;4.8175;;;2026-06-20;0.0;0;True;calculated_actual_pv_Wh_div_radiation
17:00;6.7000;3.9783;;;2026-06-20;0.0;0;True;calculated_actual_pv_Wh_div_radiation
18:00;5.8000;5.4321;;;2026-06-20;0.0;0;True;calculated_actual_pv_Wh_div_radiation
19:00;4.4000;;2.7778;;2026-06-20;2.0;5;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;;;2.1142;2026-06-21;8.0;10;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;4.5122;;;2026-06-21;0.0;0;True;calculated_actual_pv_Wh_div_radiation
14:00;6.5000;;;5.5108;2026-06-21;7.0;10;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;;2.0000;;2026-06-23;1.0;5;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;1.1628;;;2026-06-23;0.0;0;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;1.3834;;;2026-06-23;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.6275;;;2026-06-23;0.0;0;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;;3.8208;;2026-06-23;2.0;5;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;;;3.8694;2026-06-23;9.0;10;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;1.4851;;;2026-06-24;0.0;0;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;1.1268;;;2026-06-24;0.0;0;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;1.3699;;;2026-06-24;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.6034;;;2026-06-24;0.0;0;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;3.4974;;;2026-06-24;0.0;0;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;4.3581;;;2026-06-24;0.0;0;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;;4.8864;;2026-06-24;1.0;5;True;calculated_actual_pv_Wh_div_radiation
14:00;6.5000;;;6.0355;2026-06-24;8.0;10;True;calculated_actual_pv_Wh_div_radiation
19:00;4.4000;;7.2034;;2026-06-24;2.0;5;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;;;1.7544;2026-06-24;10.0;10;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;1.4925;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;1.1364;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;1.3861;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.4845;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;3.5620;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;4.4365;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;5.0808;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
14:00;6.5000;;5.7579;;2026-06-25;4.0;5;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;;;8.1511;2026-06-25;8.0;10;True;calculated_actual_pv_Wh_div_radiation
17:00;6.7000;5.1971;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
18:00;5.8000;6.5854;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
19:00;4.4000;6.6148;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;0.8403;;;2026-06-25;0.0;0;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;1.5306;;;2026-06-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;1.4535;;;2026-06-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;1.6162;;;2026-06-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.5237;;;2026-06-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;;6.0137;;2026-06-26;4.0;5;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;5.7018;;;2026-06-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
17:00;6.7000;4.6847;;;2026-06-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
18:00;5.8000;6.8627;;;2026-06-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
19:00;4.4000;6.6406;;;2026-06-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;1.6667;;;2026-06-26;0.0;0;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;1.5152;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;1.1429;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;1.3889;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.4845;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;3.4211;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
12:00;5.2000;4.1766;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
13:00;5.9000;4.9312;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
14:00;6.5000;5.5944;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;5.9045;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;5.0505;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
17:00;6.7000;3.3808;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
18:00;5.8000;5.0847;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
19:00;4.4000;6.2016;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
20:00;2.6000;1.6807;;;2026-06-27;0.0;0;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;2.0513;;;2026-06-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
08:00;1.8000;1.4493;;;2026-06-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;;;1.6162;2026-06-28;6.0;10;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.5237;;;2026-06-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
11:00;4.5000;3.4759;;;2026-06-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
14:00;6.5000;5.5687;;;2026-06-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
15:00;6.9000;5.8599;;;2026-06-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
16:00;7.0000;4.8175;;;2026-06-28;0.0;0;True;calculated_actual_pv_Wh_div_radiation
07:00;1.0000;;2.0725;;2026-06-29;5.0;5;True;calculated_actual_pv_Wh_div_radiation
09:00;2.7000;1.4170;;;2026-06-29;0.0;0;True;calculated_actual_pv_Wh_div_radiation
10:00;3.7000;2.5197;;;2026-06-29;0.0;0;True;calculated_actual_pv_Wh_div_radiation
