start;end;pv_forecast_Wh;pv_forecast_kWh;pv_forecast_cum_Wh;pv_forecast_cum_kWh
2026-07-09 15:00:00;2026-07-09 16:00:00;3200;3.2;3200;3.2
2026-07-09 16:00:00;2026-07-09 17:00:00;3400;3.4;6600;6.6
2026-07-09 17:00:00;2026-07-09 18:00:00;2300;2.3;8900;8.9
2026-07-09 18:00:00;2026-07-09 19:00:00;1200;1.2;10100;10.1
2026-07-09 19:00:00;2026-07-09 20:00:00;100;0.1;10200;10.2
2026-07-09 20:00:00;2026-07-09 21:00:00;100;0.1;10300;10.3
2026-07-09 21:00:00;2026-07-09 22:00:00;0;0.0;10300;10.3
2026-07-09 22:00:00;2026-07-09 23:00:00;0;0.0;10300;10.3
2026-07-09 23:00:00;2026-07-10 00:00:00;0;0.0;10300;10.3
2026-07-10 00:00:00;2026-07-10 01:00:00;0;0.0;10300;10.3
2026-07-10 01:00:00;2026-07-10 02:00:00;0;0.0;10300;10.3
2026-07-10 02:00:00;2026-07-10 03:00:00;0;0.0;10300;10.3
2026-07-10 03:00:00;2026-07-10 04:00:00;0;0.0;10300;10.3
2026-07-10 04:00:00;2026-07-10 05:00:00;0;0.0;10300;10.3
2026-07-10 05:00:00;2026-07-10 06:00:00;0;0.0;10300;10.3
2026-07-10 06:00:00;2026-07-10 07:00:00;0;0.0;10300;10.3
2026-07-10 07:00:00;2026-07-10 08:00:00;200;0.2;10500;10.5
2026-07-10 08:00:00;2026-07-10 09:00:00;400;0.4;10900;10.9
2026-07-10 09:00:00;2026-07-10 10:00:00;800;0.8;11700;11.7
2026-07-10 10:00:00;2026-07-10 11:00:00;1400;1.4;13100;13.1
2026-07-10 11:00:00;2026-07-10 12:00:00;1600;1.6;14700;14.7
2026-07-10 12:00:00;2026-07-10 13:00:00;1200;1.2;15900;15.9
2026-07-10 13:00:00;2026-07-10 14:00:00;500;0.5;16400;16.4
2026-07-10 14:00:00;2026-07-10 15:00:00;3000;3.0;19400;19.4
2026-07-10 15:00:00;2026-07-10 16:00:00;500;0.5;19900;19.9
2026-07-10 16:00:00;2026-07-10 17:00:00;3900;3.9;23800;23.8
2026-07-10 17:00:00;2026-07-10 18:00:00;3200;3.2;27000;27.0
2026-07-10 18:00:00;2026-07-10 19:00:00;2000;2.0;29000;29.0
2026-07-10 19:00:00;2026-07-10 20:00:00;900;0.9;29900;29.9
2026-07-10 20:00:00;2026-07-10 21:00:00;0;0.0;29900;29.9
2026-07-10 21:00:00;2026-07-10 22:00:00;0;0.0;29900;29.9
2026-07-10 22:00:00;2026-07-10 23:00:00;0;0.0;29900;29.9
2026-07-10 23:00:00;2026-07-11 00:00:00;0;0.0;29900;29.9
2026-07-11 00:00:00;2026-07-11 01:00:00;0;0.0;29900;29.9
2026-07-11 01:00:00;2026-07-11 02:00:00;0;0.0;29900;29.9
2026-07-11 02:00:00;2026-07-11 03:00:00;0;0.0;29900;29.9
2026-07-11 03:00:00;2026-07-11 04:00:00;0;0.0;29900;29.9
2026-07-11 04:00:00;2026-07-11 05:00:00;0;0.0;29900;29.9
2026-07-11 05:00:00;2026-07-11 06:00:00;0;0.0;29900;29.9
2026-07-11 06:00:00;2026-07-11 07:00:00;0;0.0;29900;29.9
2026-07-11 07:00:00;2026-07-11 08:00:00;0;0.0;29900;29.9
2026-07-11 08:00:00;2026-07-11 09:00:00;200;0.2;30100;30.1
2026-07-11 09:00:00;2026-07-11 10:00:00;800;0.8;30900;30.9
2026-07-11 10:00:00;2026-07-11 11:00:00;1600;1.6;32500;32.5
2026-07-11 11:00:00;2026-07-11 12:00:00;1400;1.4;33900;33.9
2026-07-11 12:00:00;2026-07-11 13:00:00;3100;3.1;37000;37.0
2026-07-11 13:00:00;2026-07-11 14:00:00;2500;2.5;39500;39.5
2026-07-11 14:00:00;2026-07-11 15:00:00;3400;3.4;42900;42.9
