date;hour_time;pv_forecast_kWh;pv_forecast_day_cum_kWh
2026-07-10;00:00;0.0;0.0
2026-07-10;01:00;0.0;0.0
2026-07-10;02:00;0.0;0.0
2026-07-10;03:00;0.0;0.0
2026-07-10;04:00;0.0;0.0
2026-07-10;05:00;0.0;0.0
2026-07-10;06:00;0.0;0.0
2026-07-10;07:00;0.2;0.2
2026-07-10;08:00;0.4;0.6
2026-07-10;09:00;0.8;1.4
2026-07-10;10:00;1.4;2.8
2026-07-10;11:00;1.6;4.4
2026-07-10;12:00;1.2;5.6
2026-07-10;13:00;0.5;6.1
2026-07-10;14:00;3.0;9.1
2026-07-10;15:00;0.5;9.6
2026-07-10;16:00;3.9;13.5
2026-07-10;17:00;3.2;16.7
2026-07-10;18:00;2.0;18.7
2026-07-10;19:00;0.9;19.6
2026-07-10;20:00;0.0;19.6
2026-07-10;21:00;0.0;19.6
2026-07-10;22:00;0.0;19.6
2026-07-10;23:00;0.0;19.6
