actual_date;target_start;target_end;pv_actual_kWh;actual_checked_at
2026-07-10;05:00;05:15;0.0;2026-07-11 20:40
2026-07-10;05:15;05:30;0.0;2026-07-11 20:40
2026-07-10;05:30;05:45;0.0;2026-07-11 20:40
2026-07-10;05:45;06:00;0.1;2026-07-11 20:40
2026-07-10;06:00;06:15;0.0;2026-07-11 20:40
2026-07-10;06:15;06:30;0.0;2026-07-11 20:40
2026-07-10;06:30;06:45;0.1;2026-07-11 20:40
2026-07-10;06:45;07:00;0.1;2026-07-11 20:40
2026-07-10;07:00;07:15;0.2;2026-07-11 20:40
2026-07-10;07:15;07:30;0.1;2026-07-11 20:40
2026-07-10;07:30;07:45;0.2;2026-07-11 20:40
2026-07-10;07:45;08:00;0.3;2026-07-11 20:40
2026-07-10;08:00;08:15;0.3;2026-07-11 20:40
2026-07-10;08:15;08:30;0.3;2026-07-11 20:40
2026-07-10;08:30;08:45;0.2;2026-07-11 20:40
2026-07-10;08:45;09:00;0.3;2026-07-11 20:40
2026-07-10;09:00;09:15;0.3;2026-07-11 20:40
2026-07-10;09:15;09:30;0.4;2026-07-11 20:40
2026-07-10;09:30;09:45;0.4;2026-07-11 20:40
2026-07-10;09:45;10:00;0.4;2026-07-11 20:40
2026-07-10;10:00;10:15;0.5;2026-07-11 20:40
2026-07-10;10:15;10:30;0.5;2026-07-11 20:40
2026-07-10;10:30;10:45;0.6;2026-07-11 20:40
2026-07-10;10:45;11:00;0.7;2026-07-11 20:40
2026-07-10;11:00;11:15;0.7;2026-07-11 20:40
2026-07-10;11:15;11:30;0.6;2026-07-11 20:40
2026-07-10;11:30;11:45;0.2;2026-07-11 20:40
2026-07-10;11:45;12:00;0.2;2026-07-11 20:40
2026-07-10;12:00;12:15;0.5;2026-07-11 20:40
2026-07-10;12:15;12:30;0.3;2026-07-11 20:40
2026-07-10;12:30;12:45;0.3;2026-07-11 20:40
2026-07-10;12:45;13:00;0.3;2026-07-11 20:40
2026-07-10;13:00;13:15;0.2;2026-07-11 20:40
2026-07-10;13:15;13:30;0.2;2026-07-11 20:40
2026-07-10;13:30;13:45;0.3;2026-07-11 20:40
2026-07-10;13:45;14:00;0.3;2026-07-11 20:40
2026-07-10;14:00;14:15;0.5;2026-07-11 20:40
2026-07-10;14:15;14:30;0.4;2026-07-11 20:40
2026-07-10;14:30;14:45;0.5;2026-07-11 20:40
2026-07-10;14:45;15:00;0.3;2026-07-11 20:40
2026-07-10;15:00;15:15;0.5;2026-07-11 20:40
2026-07-10;15:15;15:30;0.3;2026-07-11 20:40
2026-07-10;15:30;15:45;0.2;2026-07-11 20:40
2026-07-10;15:45;16:00;0.3;2026-07-11 20:40
2026-07-10;16:00;16:15;0.8;2026-07-11 20:40
2026-07-10;16:15;16:30;0.6;2026-07-11 20:40
2026-07-10;16:30;16:45;0.4;2026-07-11 20:40
2026-07-10;16:45;17:00;0.2;2026-07-11 20:40
2026-07-10;17:00;17:15;0.2;2026-07-11 20:40
2026-07-10;17:15;17:30;0.3;2026-07-11 20:40
2026-07-10;17:30;17:45;0.4;2026-07-11 20:40
2026-07-10;17:45;18:00;0.4;2026-07-11 20:40
2026-07-10;18:00;18:15;0.5;2026-07-11 20:40
2026-07-10;18:15;18:30;0.5;2026-07-11 20:40
2026-07-10;18:30;18:45;0.7;2026-07-11 20:40
2026-07-10;18:45;19:00;0.3;2026-07-11 20:40
2026-07-10;19:00;19:15;0.6;2026-07-11 20:40
2026-07-10;19:15;19:30;0.1;2026-07-11 20:40
2026-07-10;19:30;19:45;0.1;2026-07-11 20:40
2026-07-10;19:45;20:00;0.0;2026-07-11 20:40
2026-07-10;20:00;20:15;0.1;2026-07-11 20:40
2026-07-10;20:15;20:30;0.0;2026-07-11 20:40
2026-07-10;20:30;20:45;0.1;2026-07-11 20:40
2026-07-10;20:45;21:00;0.0;2026-07-11 20:40
