start;end;price_PLN_kWh
00:00;00:15;0,408
00:15;00:30;0,393
00:30;00:45;0,389
00:45;01:00;0,405
01:00;01:15;0,411
01:15;01:30;0,411
01:30;01:45;0,406
01:45;02:00;0,415
02:00;02:15;0,419
02:15;02:30;0,418
02:30;02:45;0,417
02:45;03:00;0,417
03:00;03:15;0,421
03:15;03:30;0,421
03:30;03:45;0,422
03:45;04:00;0,420
04:00;04:15;0,410
04:15;04:30;0,401
04:30;04:45;0,404
04:45;05:00;0,414
05:00;05:15;0,432
05:15;05:30;0,453
05:30;05:45;0,463
05:45;06:00;0,512
06:00;06:15;0,573
06:15;06:30;0,662
06:30;06:45;0,755
06:45;07:00;0,794
07:00;07:15;0,720
07:15;07:30;0,837
07:30;07:45;0,806
07:45;08:00;0,729
08:00;08:15;0,743
08:15;08:30;0,689
08:30;08:45;0,665
08:45;09:00;0,636
09:00;09:15;0,529
09:15;09:30;0,519
09:30;09:45;0,487
09:45;10:00;0,470
10:00;10:15;0,439
10:15;10:30;0,431
10:30;10:45;0,428
10:45;11:00;0,419
11:00;11:15;0,426
11:15;11:30;0,421
11:30;11:45;0,421
11:45;12:00;0,417
12:00;12:15;0,423
12:15;12:30;0,428
12:30;12:45;0,429
12:45;13:00;0,428
13:00;13:15;0,435
13:15;13:30;0,436
13:30;13:45;0,436
13:45;14:00;0,444
14:00;14:15;0,473
14:15;14:30;0,495
14:30;14:45;0,507
14:45;15:00;0,527
15:00;15:15;0,560
15:15;15:30;0,591
15:30;15:45;0,701
15:45;16:00;0,728
16:00;16:15;0,614
16:15;16:30;0,654
16:30;16:45;0,693
16:45;17:00;0,753
17:00;17:15;0,547
17:15;17:30;0,538
17:30;17:45;0,518
17:45;18:00;0,510
18:00;18:15;0,499
18:15;18:30;0,464
18:30;18:45;0,464
18:45;19:00;0,462
19:00;19:15;0,475
19:15;19:30;0,462
19:30;19:45;0,451
19:45;20:00;0,448
20:00;20:15;0,450
20:15;20:30;0,437
20:30;20:45;0,433
20:45;21:00;0,427
21:00;21:15;0,400
21:15;21:30;0,376
21:30;21:45;0,390
21:45;22:00;0,385
22:00;22:15;0,408
22:15;22:30;0,404
22:30;22:45;0,400
22:45;23:00;0,353
23:00;23:15;0,335
23:15;23:30;0,309
23:30;23:45;0,285
23:45;00:00;0,259
